mysql,749,811,0.3290104424007336
javascript,286,306,0.35914517134793794
html,254,276,0.2839785653566096
jquery,279,282,0.4924145615712606
arrays,314,319,0.48617672770829146
ajax,146,147,0.43680847041738396
wordpress,164,166,0.5393642340955322
sql,178,190,0.38624251484375693
codeigniter,190,198,0.518690496770994
regex,195,196,0.6837198233784998
forms,65,71,0.3416091426171361
json,112,112,0.6543957283788017
apache,49,49,0.6328186837515675
database,58,66,0.3118891318055073
.htaccess,46,46,0.844242630136915
symfony2,146,146,0.8083054015494893
laravel,93,94,0.792677251645999
xml,88,88,0.7692181754389478
zend-framework,113,117,0.6293275640394116
curl,48,48,0.6663143189589379
session,49,49,0.5791289614779535
pdo,96,97,0.7507958148342281
css,21,21,0.2669018012723483
mysqli,68,68,0.6060467824190829
facebook,44,44,0.7297232730438524
cakephp,90,90,0.7809218986903385
email,22,22,0.3421126066412291
magento,52,52,0.6170750386018301
yii,82,82,0.7073129328654161
laravel-4,64,64,0.8314846777001512
oop,67,67,0.6071132234853969
string,53,53,0.6055039901005113
post,25,25,0.5164877626844241
image,17,17,0.7755202272277646
function,37,38,0.42147815618649215
variables,33,33,0.5029235733054421
api,10,10,0.4417835533611723
date,35,35,0.7762634517846139
mod-rewrite,24,24,0.9430578668803996
android,10,10,0.3418201291240212
security,27,27,0.3885035354386919
foreach,35,35,0.5234112695951351
multidimensional-array,47,47,0.5892792732727397
redirect,9,9,0.6676384077523012
url,10,10,0.43536145446593205
class,43,43,0.8171476039538396
validation,15,15,0.5334559455622074
java,7,7,0.6922077922077923
doctrine2,49,49,0.7907544650499773
linux,10,11,0.6311985812213603
file-upload,9,9,0.6397499740636996
joomla,17,17,0.6513858522545464
cookies,10,10,0.5766317740230784
loops,17,17,0.5631727462277555
facebook-graph-api,20,20,0.9167809208765091
file,18,18,0.6272360946456592
drupal,16,16,0.7031204922011157
soap,4,4,0.6791666666666667
datetime,25,25,0.776939815411203
login,2,2,0.20833333333333331
preg-replace,41,41,0.8291378699779538
parsing,21,21,0.4669991127802916
csv,13,13,0.5194282315926767
if-statement,9,9,0.34956688532056174
zend-framework2,32,32,0.7464891172929861
html5,1,1,1.0
upload,5,5,0.512111801242236
paypal,8,8,0.47754685007974484
preg-match,35,35,0.6570219075275011
sorting,21,21,0.644831559491743
phpmyadmin,5,5,0.3822222222222222
search,6,6,0.5258833288494306
get,9,9,0.22177057564693758
sql-server,7,7,0.2155479860143715
doctrine,28,28,0.8711051156359904
performance,11,11,0.470389724976253
web-services,3,3,0.44999999999999996
table,4,4,0.20274725274725275
pdf,3,3,0.8055555555555555
utf-8,15,15,0.7499656669854992
simplexml,26,26,0.9286221920718489
object,24,24,0.7494277543951182
phpunit,14,14,0.7491494849688126
mongodb,24,24,0.9121235448209553
dom,22,22,0.815012487166301
select,8,8,1.0
http,8,8,0.5206569878643978
include,8,8,0.5608553981937603
authentication,5,5,0.5339572192513369
caching,7,7,0.961734693877551
cron,3,3,0.5317460317460317
pagination,2,2,0.75
twitter,6,6,0.8708333333333332
xampp,0,0,NaN
python,2,2,0.6111111111111112
rest,2,2,1.0
encryption,11,11,0.7687681005862824
wordpress-plugin,4,5,0.6038095238095238
gd,10,10,0.8171175166297118
smarty,9,9,0.6494182288299936
