N,Query,MAP,p@1,p@5,p@10
50000,php,0.11816251194776753,0.0,0.6,0.5
50000,mysql,0.2453992810005583,0.0,0.6,0.6
50000,javascript,0.24090778624101694,0.0,0.4,0.5
50000,html,0.24332937258240206,0.0,0.6,0.6
50000,jquery,0.34814865026829617,0.0,0.4,0.5
50000,arrays,0.33501513924280785,1.0,0.6,0.8
50000,ajax,0.3341308038291331,1.0,0.8,0.6
50000,wordpress,0.3842202189042445,1.0,0.8,0.7
50000,sql,0.3130235657524473,0.0,0.4,0.6
50000,codeigniter,0.36118387338830227,1.0,1.0,0.8
50000,regex,0.5437972374285371,1.0,1.0,0.9
50000,forms,0.15815165144253462,0.0,0.2,0.4
50000,json,0.5935393786607558,0.0,0.4,0.7
50000,apache,0.37380061699148337,0.0,0.6,0.7
50000,database,0.30658651058592307,0.0,0.4,0.4
50000,.htaccess,0.0,0.0,0.0,0.0
50000,symfony2,0.0,0.0,0.0,0.0
50000,laravel,0.5678272025577613,1.0,1.0,0.9
50000,xml,0.7282022818090464,0.0,0.6,0.8
50000,zend-framework,0.28904516317404266,1.0,0.8,0.7
50000,curl,0.5062802682359044,0.0,0.8,0.8
50000,session,0.5429663892801191,1.0,0.6,0.7
50000,pdo,0.6537287520253412,0.0,0.8,0.8
50000,css,0.2470894056965313,0.0,0.2,0.4
50000,mysqli,0.502883349901565,1.0,0.6,0.7
50000,facebook,0.6550916785540963,1.0,0.8,0.8
50000,cakephp,0.5004632323529231,1.0,1.0,0.8
50000,email,0.32127996880777204,1.0,0.4,0.4
50000,magento,0.48188988184135445,1.0,0.8,0.8
50000,yii,0.5879286745012079,1.0,0.8,0.8
50000,laravel-4,0.574471633951369,1.0,1.0,0.8
50000,oop,0.280355386244362,1.0,0.8,0.7
50000,string,0.4869607102398771,0.0,0.6,0.7
50000,post,0.45836679746114717,1.0,1.0,0.5
50000,image,0.6522381575007626,1.0,1.0,0.7
50000,function,0.4005180205091442,1.0,0.4,0.3
50000,variables,0.45723362640307463,1.0,0.4,0.5
50000,api,0.10150701888630095,0.0,0.2,0.2
50000,date,0.6329934059398107,1.0,0.8,0.7
50000,mod-rewrite,0.699991380567469,1.0,1.0,0.9
50000,android,0.175518602582558,0.0,0.2,0.3
50000,security,0.39242825940359716,1.0,0.4,0.3
50000,foreach,0.3742346484515742,1.0,0.4,0.5
50000,multidimensional-array,0.6084171943874835,1.0,0.6,0.8
50000,redirect,0.4366327579873561,1.0,0.4,0.3
50000,url,0.2498630063310591,0.0,0.2,0.2
50000,class,0.6010545415869262,1.0,1.0,0.9
50000,validation,0.4391060314001913,1.0,0.8,0.7
50000,java,0.5541486291486292,1.0,0.6,0.3
50000,doctrine2,0.0,0.0,0.0,0.0
50000,linux,0.40979087936093994,1.0,0.4,0.4
50000,file-upload,0.46340723620384644,0.0,0.8,0.5
50000,joomla,0.5087005977840253,1.0,0.8,0.4
50000,cookies,0.46173294959009237,0.0,0.6,0.5
50000,loops,0.42528072549946444,1.0,0.8,0.4
50000,facebook-graph-api,0.8181206515347098,1.0,1.0,0.9
50000,file,0.5928676917866175,1.0,0.6,0.7
50000,drupal,0.5646196999671782,1.0,0.8,0.7
50000,soap,0.575,1.0,0.4,0.4
50000,datetime,0.4590932179584354,1.0,0.8,0.5
50000,login,0.22549019607843135,0.0,0.2,0.1
50000,preg-replace,0.6266694225841971,1.0,0.8,0.9
50000,parsing,0.4220002738131287,1.0,0.8,0.7
50000,csv,0.45255967571507494,1.0,0.6,0.6
50000,if-statement,0.0,0.0,0.0,0.0
50000,zend-framework2,0.13290394995736274,0.0,0.2,0.2
50000,html5,0.0,0.0,0.0,0.0
50000,upload,0.4477777777777778,0.0,0.6,0.3
50000,paypal,0.5003438228438228,0.0,0.6,0.4
50000,preg-match,0.5883415245827025,0.0,0.8,0.8
50000,sorting,0.289355976584512,1.0,0.6,0.4
50000,phpmyadmin,0.40418567918567916,1.0,0.4,0.3
50000,search,0.5554473304473304,1.0,0.6,0.3
50000,get,0.0,0.0,0.0,0.0
50000,sql-server,0.20076521427807956,1.0,0.2,0.1
50000,doctrine,0.5469138600019557,1.0,1.0,0.8
50000,performance,0.2482908728897901,0.0,0.2,0.2
50000,web-services,0.18901660280970625,0.0,0.2,0.2
50000,table,0.20535714285714285,0.0,0.0,0.3
50000,pdf,0.41111111111111115,0.0,0.4,0.3
50000,utf-8,0.8243711449226154,1.0,0.8,0.9
50000,simplexml,0.7254757733165055,1.0,1.0,1.0
50000,object,0.602469048018934,1.0,0.6,0.7
50000,phpunit,0.6234295583459658,1.0,0.8,0.6
50000,mongodb,0.6589632143513305,1.0,1.0,0.8
50000,dom,0.6232486036824342,1.0,0.8,0.7
50000,select,0.5740801656920078,1.0,0.8,0.5
50000,http,0.2469365193708973,0.0,0.4,0.2
50000,include,0.3727535987404409,0.0,0.4,0.4
50000,authentication,0.07825542655224633,0.0,0.2,0.1
50000,caching,0.43295100732600733,1.0,0.4,0.4
50000,cron,0.280430297671677,0.0,0.2,0.2
50000,pagination,0.15948275862068967,0.0,0.2,0.1
50000,xampp,0.0,0.0,0.0,0.0
50000,twitter,0.7622282608695653,1.0,0.8,0.4
50000,python,0.054093567251461985,0.0,0.0,0.0
50000,rest,0.12532583903551645,0.0,0.2,0.1
50000,encryption,0.44499613552001843,1.0,0.4,0.4
50000,wordpress-plugin,0.3519829683698297,1.0,0.4,0.2
50000,gd,0.0,0.0,0.0,0.0
50000,,0.39726730626847834,0.56,0.5439999999999999,0.49
