Loading tags started
Loading tags done!
tag,map,p@1,p@5,p@10,topUser
css,0.27479418967085106,1.0,0.4,0.3,187606
curl,0.6114512473016055,0.0,0.6,0.7,2953344
file-upload,0.4661552899596378,0.0,0.6,0.5,118068
select,0.2993845980126468,1.0,0.4,0.3,491243
html5,0.16666666666666666,0.0,0.0,0.1,19068
upload,0.6416666666666666,0.0,0.6,0.5,118068
zend-framework2,0.7579285667582853,1.0,1.0,1.0,958642
csv,0.6769346094750953,1.0,0.6,0.8,324584
parsing,0.5947951770949405,1.0,0.8,0.7,2265374
ajax,0.3750039108084487,0.0,0.8,0.7,19068
twitter,0.9107142857142857,1.0,0.8,0.6,26406
java,0.7191403834260977,1.0,0.6,0.6,157882
wordpress-plugin,0.6592063492063492,1.0,0.8,0.4,1287812
xml,0.7492619416451283,0.0,0.6,0.8,367456
api,0.20813290802764484,0.0,0.0,0.1,1188826
validation,0.5078135801975946,1.0,0.8,0.6,1392379
python,0.375,0.0,0.2,0.2,10661
if-statement,0.3722993827160494,1.0,0.6,0.4,476
javascript,0.3391597726058329,0.0,0.4,0.6,19068
regex,0.46314345969449844,1.0,1.0,0.9,548225
utf-8,0.8974636474636476,1.0,1.0,0.8,476
arrays,0.4525951530402799,1.0,0.8,0.7,476
doctrine,0.8925747524204783,1.0,1.0,1.0,368003
symfony2,0.7864165740100549,1.0,0.8,0.9,1832745
object,0.5577850507123592,1.0,0.8,0.8,476
dom,0.7369674053702919,1.0,0.8,0.8,208809
simplexml,0.7255919365473633,1.0,1.0,0.9,367456
login,0.15476190476190477,0.0,0.0,0.1,118068
cookies,0.5155777555777555,0.0,0.6,0.5,118068
search,0.3805108143070904,1.0,0.4,0.3,118068
file,0.1712361445829831,1.0,0.4,0.3,118068
encryption,0.6075163406503119,1.0,0.4,0.6,589259
get,0.31484654311885074,0.0,0.6,0.4,118068
yii,0.6540186212046655,1.0,0.8,0.9,720508
paypal,0.49754273504273505,0.0,0.6,0.5,1188826
email,0.37372125096798636,1.0,0.4,0.2,118068
table,0.25,1.0,0.2,0.1,689579
redirect,0.22480602704365704,1.0,0.4,0.2,548225
include,0.06209335123756003,0.0,0.0,0.1,118068
variables,0.2618916652295612,1.0,0.6,0.5,476
facebook,0.7204578930920421,1.0,0.8,0.8,337227
loops,0.31614363265303985,1.0,0.8,0.5,118068
xampp,0.0,0.0,0.0,0.0,4833
url,0.1261105453873625,0.0,0.2,0.2,53114
phpunit,0.6268053360999252,1.0,0.8,0.5,285578
facebook-graph-api,0.914408306869813,1.0,1.0,0.9,1343690
php,0.1445252792458562,1.0,0.2,0.5,1415724
date,0.704062746233337,1.0,0.8,0.9,250259
wordpress,0.5500333380800848,1.0,0.8,0.9,1287812
caching,0.3666825729030333,0.0,0.4,0.4,223992
sql-server,0.43686088152883823,1.0,0.6,0.3,105929
oop,0.556806238195588,1.0,1.0,0.9,208809
datetime,0.7419146452595463,1.0,0.6,0.8,250259
apache,0.6086829605484021,1.0,0.4,0.6,548225
post,0.08789376893736113,0.0,0.4,0.3,285587
function,0.4926864581455986,1.0,0.6,0.6,476
html,0.2364041819537608,1.0,0.4,0.6,1415724
mysql,0.274463537019723,0.0,0.4,0.6,118068
web-services,0.4567901234567901,1.0,0.2,0.2,367456
cron,0.3962418300653594,0.0,0.4,0.2,118068
image,0.7476571467747938,1.0,1.0,0.8,118068
laravel,0.7027737043370672,1.0,1.0,0.9,1959747
joomla,0.5495075608276458,1.0,0.8,0.4,1362108
multidimensional-array,0.4160876294549149,0.0,0.6,0.8,367456
drupal,0.6775087530555705,1.0,0.8,0.7,830680
http,0.4173445591813814,1.0,0.6,0.3,138475
soap,0.6083333333333333,0.0,0.6,0.4,1627406
pagination,0.31666666666666665,0.0,0.2,0.1,999120
string,0.3860186643898018,0.0,0.6,0.5,118068
session,0.42150984019694554,1.0,0.6,0.6,118068
android,0.46197184881395403,0.0,0.6,0.5,1880431
laravel-4,0.6760634648886636,1.0,1.0,0.9,1959747
jquery,0.4050592741021073,1.0,0.8,0.6,114251
sql,0.4860493309301087,1.0,0.8,0.9,1144035
foreach,0.25599401910872,0.0,0.6,0.7,118068
database,0.05032947663498998,0.0,0.2,0.3,285587
phpmyadmin,0.2666666666666667,0.0,0.4,0.3,2385479
security,0.22968958637592998,0.0,0.4,0.3,183528
codeigniter,0.43750105435813746,1.0,0.8,0.7,594509
linux,0.410423242727318,1.0,0.6,0.5,367456
preg-match,0.4837284032157072,1.0,0.8,0.8,1491895
sorting,0.700499188626719,1.0,1.0,1.0,476
zend-framework,0.6237602331517681,1.0,1.0,0.8,208809
doctrine2,0.7834533706245989,1.0,1.0,0.8,1146363
mysqli,0.5517289024101226,0.0,0.6,0.8,285587
json,0.6172034918199413,0.0,0.6,0.7,19068
class,0.7504838818400507,1.0,1.0,1.0,476
gd,0.8532539682539682,1.0,0.8,0.8,118068
mongodb,0.7611217418226423,1.0,1.0,0.8,383478
.htaccess,0.7864272409979631,1.0,1.0,1.0,548225
authentication,0.08250015720304345,0.0,0.2,0.1,223992
magento,0.5229291461480365,1.0,0.8,0.7,4668
rest,0.5058479532163742,1.0,0.2,0.1,476
cakephp,0.6505758736287072,1.0,1.0,0.9,171209
preg-replace,0.6352641633264341,1.0,1.0,0.8,2255089
mod-rewrite,0.4813048584217135,1.0,1.0,0.9,851273
pdf,0.4777777777777777,0.0,0.6,0.3,264628
performance,0.38392189720462966,0.0,0.2,0.4,285587
pdo,0.7302357557058096,0.0,0.8,0.8,285587
forms,0.33298935456365786,1.0,0.4,0.6,1415724
Avg Map = 0.4908270811739773
